ABV71708.1	ABV71708.1
AEM05830.1	AEM05830.1
ADG65431.1	ADG65431.1
ADG65431.1	QBA84670.1
ADG65431.1	AGM20662.1
ADG65431.1	AJT39540.1
ADG65431.1	AGM20661.1
ADG65431.1	ADF59563.1
ADG65431.1	QBA84667.1
ADG65431.1	QBA84615.1
ADG65431.1	AGM20660.1
ADG65431.1	QWJ89534.1
ADG65431.1	AGM20659.1
ADG65431.1	QBA84664.1
ADG65431.1	AGM20657.1
ADG65431.1	AGM20656.1
ADG65431.1	QBA88428.1
ADG65431.1	AGM20655.1
ADG65431.1	QBA88425.1
ADG65431.1	AGM20654.1
ADG65431.1	AGM20651.1
ADG65431.1	ADB20211.1
ADG65431.1	QBA84701.1
ADG65431.1	QBA84657.1
ADG65431.1	AGM20650.1
ADG65431.1	AGM20648.1
ADG65431.1	AGM20647.1
ADG65431.1	AGM20646.1
ADG65431.1	QBA84651.1
ADG65431.1	AGM20645.1
ADG65431.1	AGM20644.1
ADG65431.1	QOW02519.1
ADG65431.1	QEO33312.1
ADG65431.1	AGM20643.1
ADG65431.1	QEO33311.1
ADG65431.1	AWO81966.1
ADG65431.1	ATE46009.1
ADG65431.1	AGM20642.1
ADG65431.1	QOW02516.1
ADG65431.1	QEO33310.1
ADG65431.1	AGM20641.1
ADG65431.1	AGM20640.1
ADG65431.1	QWJ89561.1
ADG65431.1	AGM20639.1
ADG65431.1	QBA84688.1
ADG65431.1	QBA84637.1
ADG65431.1	QBQ18570.1
ADG65431.1	AFM73884.1
ADG65431.1	QBA84631.1
ADG65431.1	AFM73878.1
ADG65431.1	QQD86344.1
ADG65431.1	QBQ18567.1
ADG65431.1	QBQ18566.1
ADG65431.1	AFM73875.1
ADG65431.1	QQD86342.1
ADG65431.1	UGN13753.1
ADG65431.1	AFM73874.1
ADG65431.1	QQD86340.1
ADG65431.1	QBA84677.1
ADG65431.1	AFM73872.1
ADG65431.1	QQD86338.1
ADG65431.1	UGN13751.1
ADG65431.1	QXN54700.1
ADG65431.1	AFM73871.1
ADG65431.1	QQD86336.1
ADG65431.1	QBA88437.1
ADG65431.1	AFM73870.1
ADG65431.1	QFP39168.1
ABB01357.1	ABB01357.1
ABB01357.1	AFR44455.1
ABB01357.1	ACJ63469.1
ABB01357.1	AAC40696.1
ABB01357.1	AFR44454.1
ABB01357.1	ACJ63468.1
ABB01357.1	ABB01356.1
ABB01357.1	ACJ63464.1
ABB01357.1	ABB01352.1
ABB01357.1	ACJ63463.1
ABB01357.1	ABB01351.1
ABB01357.1	ACJ63462.1
ABB01357.1	ABB01350.1
ABB01357.1	P0DJZ2.1
ABB01357.1	AGG38822.1
ABB01357.1	AGG38821.1
ABB01357.1	AGG38820.1
ABB01357.1	AJM71462.1
ABB01357.1	AGI62173.1
ABB01357.1	AGI62172.1
ABB01357.1	AGI62171.1
ABB01357.1	ABI74613.1
ABB01357.1	ABI74612.1
ABB01357.1	ABI74611.1
ABB01357.1	ACJ63476.1
ABB01357.1	ABB01364.1
ABB01357.1	AAV33437.1
ABB01357.1	ACJ63475.1
ABB01357.1	ABB01363.1
ABB01357.1	ACJ63474.1
ABB01357.1	ABB01362.1
ABB01357.1	AAB38325.1
ABB01357.1	AAB03397.1
ABB01357.1	AFR44456.1
ABB01357.1	AAB03396.1
ABB01357.1	ACJ63470.1
ABB01357.1	ABB01358.1
ABB01357.1	ACF39504.1
ABB01357.1	ADN94630.1
ABB01357.1	QEY08106.1
ABB01357.1	ADN94620.1
ABB01357.1	ANW48426.1
ABB01357.1	ADO22680.1
ABB01357.1	ADN94610.1
ABB01357.1	AEL21974.1
ABB01357.1	UGN13735.1
ABB01357.1	AAV92682.1
ABB01357.1	AEL21964.1
ABB01357.1	QQD86201.1
ABB01357.1	AHW51114.1
ABB01357.1	AEL21959.1
ABB01357.1	ADN94605.1
ABB01357.1	AAV92674.1
ABB01357.1	QQD86197.1
ABB01357.1	AEZ57104.1
ABB01357.1	ADN94589.1
ABB01357.1	AAV92663.1
ABB01357.1	ADN94584.1
ABB01357.1	ACF39499.1
ABB01357.1	QAU32309.1
ABB01357.1	ADN94636.1
ABB01357.1	QAU32305.1
ABB01357.1	ANZ52451.1
ABB01357.1	ADN94635.1
ABB01357.1	QQD86181.1
ABB01357.1	QAU32301.1
ABB01357.1	AFV67811.1
ABB01357.1	AFV67810.1
ABB01357.1	AFV67809.1
ABB01357.1	YP_009507383.1
ASV70535.1	ASV70535.1
ARV85899.1	ARV85899.1
ARV85899.1	ARV85898.1
ABC02080.1	ABC02080.1
ABC02080.1	AYV97581.1
ABC02080.1	AYV97569.1
ABC02080.1	ABC02078.1
ABC02080.1	ABC02077.1
ABC02080.1	ADN65379.1
ABC02080.1	ADN65378.1
ABC02080.1	ADN65377.1
ABC02080.1	ADN65376.1
ABC02080.1	ADN65374.1
ABC02080.1	ADN65373.1
ABC02080.1	ADN65372.1
ABM73650.1	ABM73650.1
BAR72997.1	BAR72997.1
BAR72997.1	BAR73003.1
BAR72997.1	BAR72998.1
BAR72997.1	BAR42285.1
BAR72997.1	BAU69598.1
BAR72997.1	AME15841.1
BAR72997.1	ACX31264.1
BAR72997.1	ACX31248.1
BAR72997.1	QIC34550.1
BAR72997.1	QOI91060.1
BAR72997.1	QOI91061.1
BAR72997.1	QOI91070.1
BAR72997.1	AME15883.1
BAR72997.1	AME15884.1
BAR72997.1	QIC34541.1
BAR72997.1	QIM55697.1
BAR72997.1	AME15838.1
BAR72997.1	AME15870.1
BAR72997.1	AME15849.1
BAR72997.1	AME15877.1
BAR72997.1	QOI91105.1
BAR72997.1	AME15834.1
BAR72997.1	QOI91078.1
BAR72997.1	ACX31275.1
BAR72997.1	ACX31273.1
BAR72997.1	ACX31267.1
BAR72997.1	ACX31262.1
BAR72997.1	QOI91080.1
BAR72997.1	ACX31279.1
BAR72997.1	AME15866.1
BAR72997.1	QIC34549.1
BAR72997.1	QIC34540.1
BAR72997.1	AME15865.1
BAR72997.1	QOI91077.1
BAR72997.1	ACX31287.1
BAR72997.1	ACX31288.1
BAR72997.1	AME15863.1
BAR72997.1	QOI91072.1
BAR72997.1	AME15862.1
BAR72997.1	QIC34547.1
BAR72997.1	QIC34545.1
BAR72997.1	QIC34543.1
BAR72997.1	QIC34555.1
BAR72997.1	QIC34554.1
BAR72997.1	QIC34551.1
BAR72997.1	AME15856.1
BAR72997.1	ACX31271.1
AKI82163.1	AKI82163.1
AIC33890.1	AIC33890.1
AFY12594.1	AFY12594.1
AFD01595.1	AFD01595.1
AFD01595.1	AFD01593.1
AFD01595.1	AFD01590.1
AFD01595.1	AFD01608.1
AFD01595.1	AFD01606.1
AFD01595.1	BAT31800.1
AFD01595.1	BAT31799.1
AFD01595.1	BAT31787.1
AFD01595.1	ADN44562.1
AFD01595.1	BAR87945.1
AFD01595.1	BAR87934.1
AFH02755.1	AFH02755.1
AFH02755.1	QRG24227.1
CAC39994.1	CAC39994.1
UJT31804.1	UJT31804.1
UAJ21545.1	UAJ21545.1
QWV62499.1	QWV62499.1
YP_010087286.1	YP_010087286.1
QVW56791.1	QVW56791.1
QVW56791.1	QTZ83168.1
QVW56791.1	QVW56834.1
QVW56791.1	QJI53740.1
QVW56791.1	QTZ83147.1
QVW56791.1	AQN78647.1
QVW56791.1	QTZ83174.1
QVW56791.1	NP_958102.1
QVW56791.1	1DNV
QVW56791.1	NP_046818.1
QVW56791.1	NP_046817.1
QVW56791.1	NP_046816.1
QVW56791.1	NP_958104.1
QVW56791.1	NP_958103.1
QVW56791.1	NP_694832.1
QVW56791.1	NP_694831.1
QVW56791.1	YP_007003828.1
QVW56791.1	YP_007003827.1
QVW56791.1	YP_007003826.1
QVW56791.1	AFK91984.1
QVW56791.1	AFK91986.1
QVW56791.1	AFK91985.1
QVW56791.1	QVW56820.1
QVW56791.1	QTZ83206.1
QVW56791.1	QVW56824.1
QVW56791.1	4MGU
QTE04116.1	QTE04116.1
QTE04116.1	QVW56850.1
QTE04116.1	QTE03973.1
QTE04116.1	QTZ83189.1
QTE04116.1	QTE04066.1
QTE04116.1	QTE03939.1
QTE04116.1	QVW56810.1
QTE04116.1	QOR29560.1
QTE04116.1	NP_694840.1
QTE04116.1	NP_542611.1
QTE04116.1	NP_694837.1
QTE04116.1	NP_955626.1
QTE04116.1	QYW06826.1
QTE04116.1	YP_006576514.1
QTE04116.1	QVW56786.1
QTE04116.1	YP_006589930.1
QTE04116.1	QTE03719.1
QTE04116.1	AIT71974.1
QTE04116.1	AWA28232.1
QTE04116.1	QNJ60187.1
QTE04116.1	YP_009021038.1
QTE04116.1	QTE03713.1
QTE04116.1	YP_164341.1
QTE04052.1	QTE04052.1
QTE04020.1	QTE04020.1
QTE04020.1	YP_005097851.1
QTE04020.1	QHD57625.1
QTE04020.1	QHD57622.1
QTE04020.1	QKN88778.1
QTE04020.1	QKN88755.1
QTE04020.1	QKE54950.1
QTE04020.1	QKN88758.1
QTE04020.1	YP_010086821.1
QTE04020.1	QKN88756.1
QTE04020.1	YP_010086819.1
QTE04020.1	NP_043940.1
QTE04020.1	UGV24172.1
QTE04020.1	QJS95374.1
QTE04020.1	AAU05365.1
QTE04020.1	UGV24170.1
QTE04020.1	QDH44547.1
QTE04020.1	QDH44173.1
QTE04020.1	AAU05363.1
QTE04020.1	QDH44426.1
QTE04020.1	QDH44344.1
QTE04020.1	QDH44309.1
QTE04020.1	UGV24168.1
QTE04020.1	Q89268.1
QTE04020.1	QDH44384.1
QTE04020.1	QDH44232.1
QTE04020.1	NP_044926.1
QTE04020.1	ASW20943.1
QTE04020.1	QDH44337.1
QTE04020.1	QDH44152.1
QTE04020.1	QDH44086.1
QTE04020.1	QDH44539.1
QTE04020.1	QDH44419.1
QTE04020.1	QDH44295.1
QTE04020.1	ABZ10811.1
QTE04020.1	QDH44571.1
QTE04020.1	QDH44377.1
QTE04020.1	QDH44330.1
QTE04020.1	QDH44219.1
QTE04020.1	QDH44145.1
QTE04020.1	AAB95451.1
QTE04020.1	QPP19827.1
QTE04020.1	QDH44079.1
QTE04020.1	QDH44412.1
QTE04020.1	QDH44531.1
QTE04020.1	UGV24188.1
QTE04020.1	QDH44370.1
QTE04020.1	QDH44214.1
QTE04020.1	QDH44477.1
QTE04020.1	QDH44369.1
QTE04020.1	UGV24186.1
QTE04020.1	QDH44260.1
QTE04020.1	QDH44138.1
QTE04020.1	UGV24184.1
QTE04020.1	UGV24183.1
QTE04020.1	QPP19817.1
QTE04020.1	QDH44524.1
QTE04020.1	QDH44405.1
QTE04020.1	UGV24181.1
QTE04020.1	QDH44358.1
QTE04020.1	QDH44187.1
QTE04020.1	UGV24180.1
QTE04020.1	QPP19815.1
QTE04020.1	SZF06936.1
QTE04020.1	QDH44555.1
QTE04020.1	QDH44469.1
QTE04020.1	UGV24178.1
QTE04020.1	QDH44316.1
QTE04020.1	QDH44110.1
QTE04020.1	QDH44398.1
QTE04020.1	QDH44253.1
QTE04020.1	QDH44461.1
QTE04020.1	QDH44180.1
QTE04020.1	AAU05367.1
QTE04020.1	ABI16638.1
QTE04020.1	QHY93489.1
QTE04020.1	YP_068093.1
QTE04020.1	QPN96232.1
QTE04020.1	YP_009154712.1
QTE04020.1	QKN88777.1
QTE04020.1	QKE60686.1
QTE04020.1	QJB76078.1
QTE04020.1	YP_077182.1
QTE04020.1	NP_852780.1
QTE04020.1	AXL64652.1
QTE04020.1	AHK22792.1
QTE04020.1	ACU30841.1
QTE04020.1	QKE54964.1
QTE04020.1	QLF86430.1
QTE04020.1	QEJ80808.1
QTE04020.1	QKN88780.1
QTE04020.1	QKN88772.1
QTE04020.1	QKN88770.1
QTE04020.1	QKN88768.1
QTE04020.1	QKN88766.1
QTE04020.1	YP_009507366.1
QTE04020.1	YP_009111339.1
